NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
19897,경기도 화성시 동탄구 송동,693,0693,0000,동탄2하우스디더레이크,59.99,202503,15,"65,800",2632동,5,개인,개인,2016,동탄대로9길 19,-,중개거래,경기 화성시,2025.6.11
19898,경기도 화성시 동탄구 송동,693,0693,0000,동탄2하우스디더레이크,59.99,202503,15,"66,000",2627동,15,개인,개인,2016,동탄대로9길 19,-,중개거래,경기 화성시,2025.3.31
19899,경기도 양주시 덕정동,221-1,0221,0001,한국(105.106.107동),62.34,202503,15,"13,950",106,2,개인,개인,1990,회정로109번길 15,-,중개거래,경기 양주시,2025.6.30
19900,경기도 양주시 삼숭동,684-1,0684,0001,양주자이2단지,84.9218,202503,15,"22,000",-,12,개인,개인,2005,삼숭로38번길 78-12,20250507,중개거래,경기 양주시,-
19901,경기도 광주시 곤지암읍 삼리,125-1,0125,0001,곤지암킴스빌리지,35.63,202503,15,"12,900",104,2,개인,개인,2001,평촌길 20,-,중개거래,경기 광주시,2025.4.25
19902,경기도 양주시 산북동,1,0001,0000,양주한승,84.597,202503,15,"15,700",101,8,개인,개인,2001,고덕로 108-59,-,중개거래,경기 양주시,2025.4.4
19903,경기도 화성시 동탄구 석우동,56,0056,0000,신일유토빌,101.857,202503,15,"69,500",136,10,개인,개인,2008,동탄반석로 232,-,중개거래,경기 화성시,2025.6.13
19904,경기도 화성시 동탄구 목동,477,0477,0000,동탄2신도시 베라체,59.99,202503,15,"50,900",2143동,18,개인,개인,2018,동탄순환대로20길 13,-,중개거래,경기 화성시,2025.5.2
19905,경기도 화성시 동탄구 목동,485,0485,0000,한신더휴,83.7489,202503,15,"65,300",2221동,6,개인,개인,2018,동탄순환대로20길 70,-,중개거래,경기 화성시,2025.4.7
19906,경기도 화성시 동탄구 청계동,552,0552,0000,동탄역 호반 써밋,84.957,202503,15,"71,500",-,2,개인,개인,2015,동탄순환대로22길 45,20250409,중개거래,경기 화성시,-
19907,경기도 화성시 동탄구 장지동,966,0966,0000,금호어울림레이크,59.93,202503,15,"55,500",3110동,2,개인,개인,2018,동탄대로4길 17,-,중개거래,경기 화성시,2025.6.12
19908,경기도 화성시 동탄구 석우동,55,0055,0000,롯데캐슬,87.64,202503,15,"66,900",-,9,개인,개인,2008,동탄반석로 231,20250507,중개거래,경기 화성시,-
19909,경기도 화성시 동탄구 장지동,923,0923,0000,금호어울림레이크2차,84.97,202503,15,"64,500",2908동,4,개인,개인,2019,동탄대로1길 32,-,중개거래,경기 화성시,2025.4.29
19910,경기도 화성시 동탄구 장지동,966,0966,0000,금호어울림레이크,74.97,202503,15,"69,000",3109동,3,개인,개인,2018,동탄대로4길 17,-,중개거래,경기 화성시,2025.4.30
19911,경기도 화성시 동탄구 장지동,963,0963,0000,동탄호수자이파밀리에,59.64,202503,15,"57,000",3203동,17,개인,개인,2018,동탄대로2길 19,-,중개거래,경기 화성시,2025.4.29
19912,경기도 양주시 덕계동,855,0855,0000,현진에버빌1단지,84.77,202503,15,"25,100",102,12,개인,개인,2007,고덕로 160,-,중개거래,경기 양주시,2025.5.21
